ID,Time Spent,Game Complete,Win,Lose,Difficulty Level,Social Stat,Environmental Stat,Economical Stat,Money,More Info Button Clicked
1,34.97692,False,True,False,easy,2,2,-2,550,0
2,110.6851,False,False,True,easy,0,-4,6,110,0
3,76.56613,False,False,True,easy,2,3,5,140,0
4,92.46917,False,False,True,easy,-14,-14,16,380,0
5,48.72687,True,True,False,easy,-8,-6,9,690,0
